,normal limits,normal chest x ray,normal for age,hyperinflation,atelectasis,compressive atelectasis,platelike atelectasis,small lung volume,fibrotic changes,bronchiectasis,infiltrate,consolidation,contusion,opacity,pneumonitis,atypical pneumonia,tuberculosis,granulomatous disease,bronchopneumonia,pulmonary vascular congestion,pulmonary edema,heart failure,bronchial wall thickening,peribronchial thickening,air bronchogram,granuloma,nodule,mass,interstitial markings,interstitial lung disease,interstitial infiltrate,air trapping,pulmonary fibrosis,pleural thickening,pneumothorax,pleural calcifications,cardiomegaly,heart size,normal heart size,dextrocardia,aortic calcification,lymphadenopathy,tortuous aorta,aortic atherosclerosis,mediastinal widening,tracheostomy,mediastinal mass,hilar mass,pulmonary hypertension,pneumomediastinum,elevated diaphragm,flat,degenerative changes,rib fracture,scoliosis,kyphosis,osteophyte,osteopenia,mineralization,arthritis,pectus deformity,humerus fracture,clavicular fracture,thoracotomy,cervical rib,dish,arthroplasty,calcific tendinitis,resection,skin fold,nipple,motion artifact,cholecystectomy,central line,et tube,ecmo,orogastric tube,vascular stent,surgical clips,cabg,chest tube,ecg,swan ganz catheter,sutures,breast implant,stimulator,staples,drainage catheter,pigtail catheter,foreign body,oxygen tubing
89, cardiomediastinal silhouette is within normal limits,,,, bibasilar atelectasis,,,,,, moderate interstitial infiltrates are again evident bilaterally,,, clearing of basilar opacity with mild residual parenchymal density projecting over the heart on the lateral view and over the spine on the lateral view probably within lower lobe lingula and middle lobe regions,,,,,,,,,,,,,,,,,,,,, pneumothorax none,, mediastinum stable cardiomegaly with postoperative changes including prosthetic cardiac valves, heart size normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90, cardiac and mediastinal contours are within normal limits,,,, there is also some density inferiorly in the left hemithorax likely combination of atelectasis and pleural effusion,,,,,, report impression persistent moderate interstitial infiltrates,,, impression significant interval improvement with mild residual parenchymal opacity in basilar aspect of both lungs as described,,,,,,,,,,,,,,,,,,,,,,, stable cardiomegaly, heart size appears to be mildly enlarged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91, cardiac and mediastinal contours are within normal limits,,,, probable mild left basilar atelectasis,,,,,, moderate interstitial infiltrates are again evident,,, dominant opacity pattern unifocal,,,,,,,,,,,,,,,,,,,,,,, findings there is evidence for cardiomegaly, heart size and pulmonary vascularity are within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92, the visualized soft tissue silhouettes are within normal limits,,,, mild left basilar scarring or atelectasis is present,,,,,, report impression persistent moderate interstitial infiltrates,,, left basilar airspace opacity which may represent pulmonary contusion or atelectasis in the posttraumatic setting,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly, heart size is within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93, osseous structures are within normal limits,,,, there is improved atelectasis in the left lung base,,,,,, overlapping densities versus a poorly defined questionable infiltrate inferior right middle lobe pulmonary vascularity is normal,,, there is increased opacity within the right lower lobe behind the level of the seventh and eighth ribs posteriorly,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94, heart size is within normal limits,,,, findings are most consistent with atelectasis,,,,,, large right perihilar mass now with right upper lobe volume loss and confluence infiltrate possibly postobstructive atelectasis and or pneumonia,,, there is increased opacity within the right lower lobe behind the level of the seventh and eighth ribs posteriorly,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly is present, cardiomediastinal silhouette heart size is within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95, pulmonary vasculature is within normal limits,,,, atelectasis left lung base,,,,,, overlapping densities versus subtle inferior right middle lobe parenchymal infiltrate atelectasis and or bronchopneumonia ,,, persistent left basilar opacity obscuring diaphragm,,,,,,,,,,,,,,,,,,,,,,, heart cardiomegaly, the heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96, the prevertebral soft tissues are within normal limits,,,, there are linear densities in the lower lungs compatible with platelike atelectasis,,,,,, comparison date indication history line placement findings lungs pleura low lung volumes with mild basilar infiltrates,,, lungs there is increased retrocardiac opacity concerning for retrocardiac infiltrate or atelectasis,,,,,,,,,,,,,,,,,,,,,,, stable cardiomegaly, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97, heart size and mediastinal contour appear within normal limits given technique and lung volumes,,,, report impression platelike atelectasis in the lower lungs,,,,,, findings the lungs are adequately inflated and are clear without infiltrate effusion or pneumothorax,,, there is elevation of the right hemidiaphragm mild right base opacity which probably some atelectasis,,,,,,,,,,,,,,,,,,,,,,, cardiac borderline cardiomegaly, heart size is within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98, mediastinal and osseous structures are within normal limits,,,, there is minimal atelectasis at the left base,,,,,, history pneumonia findings exams report header chest v report body single frontal view of the chest reveals extensive multifocal infiltrates involving the right lower lobe left lower lobe left lingula and right upper lobe,,, chronic changes as described with some minimal right base opacity probably atelectasis,,,,,,,,,,,,,,,,,,,,,,, impression borderline cardiomegaly, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99, the mediastinal and hilar contours are within normal limits,,,, chest streaky right perihilar opacity likely scarring or atelectasis,,,,,, report impression multifocal infiltrates involving the right lower lobe left lower lobe and left lingula and right upper lobe,,, persistent opacity within the right middle lobe and lingula are likely related to chronic indolent inflammation as suggested on prior studies,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly with underlying chf, findings exams report header chest v report body chest findings the heart size and pulmonary vascularity are unremarkable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100, cardiomediastinal silhouette within normal limits,,,, there is persistent bilateral stranding which is probably subsegmental atelectasis or scarring,,,,,, the hazy patchy parenchymal infiltrate left more than right midchest has cleared,,, lungs moderate right pleural effusion with adjacent opacity has worsened,,,,,,,,,,,,,,,,,,,,,,, persistent mild cardiomegaly and persistent diffuse ill defined parenchymal opacities unchanged, heart size is within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101, the cardiac silhouette hilum and mediastinum are within normal limits,,,, subsegmental atelectasis,,,,,, apparent interval resolution of the previously mild patchy hazy mid chest parenchymal infiltrates,,, mild linear opacity in the left lung base is redemonstrated,,,,,,,,,,,,,,,,,,,,,,, borderline cardiomegaly, mild prominence of heart size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102, the lung parenchyma appears within normal limits,,,, lungs are clear without significant infiltrate mass or atelectasis,,,,,, findings lungs hyperinflation and peribronchial cuffing without a focal alveolar infiltrate,,, adjacent opacity in the lung may represent atelectasis or pneumonia,,,,,,,,,,,,,,,,,,,,,,, history cough findings exams report header chest x ray v report body mild cardiomegaly with large hiatal hernia, the heart size is mildly enlarged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103, osseous structures are within normal limits,,,, there is mild perihilar atelectasis and or infiltrates,,,,,, lungs are well expanded and free of acute infiltrate,,, new or progressive infiltrative opacity in right upper lobe,,,,,,,,,,,,,,,,,,,,,,, there is mild cardiomegaly, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104, pulmonary vasculature is within normal limits,,,, impression expiratory exam with perihilar atelectasis and or infiltrates and central airway thickening,,,,,, findings there are patchy airspace densities in the right lower lung and left perihilar region compatible with infiltrates,,, lungs pleural space extensive right lung airspace disease and patchy airspace disease in the left upper lung and left lung base general appears similar although the rotation difficult to tell if there is greater retrocardiac opacity,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly is unchanged, heart and mediastinum normal heart size and pulmonary vascularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105, osseous structures within normal limits,,,, atelectasis and or consolidation in the right lower lobe,,,,,, report impression acute infiltrates in the right lower lung and left perihilar region,,, patchy opacity is seen within the right middle lobe and right lung base which could represent atelectasis contusion or even pneumonia,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly unchanged, the heart size and pulmonary vascularity remain within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106, the pulmonary vasculature is within normal limits,,,, lingular subsegmental atelectasis,,,,,, history r o tb findings exams report header chest v report body views show lung fields clear without infiltrate effusion or mass,,, patchy opacity in the right lung base which could represent atelectasis contusion or less likely pneumonia,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly with changes of pulmonary venous hypertension but without frank pulmonary edema, examination chest views with date comparison clinical history lymphadenopathy findings heart size and pulmonary vascularity are normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107, the pulmonary vasculature is within normal limits,,,, there is atelectasis in both lung bases,,,,,, small lung volumes without acute infiltrate,,, findings lungs clear without focal lung opacity,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly, however the heart size is within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108, the hila and mediastinum are within normal limits,,,, mild atelectasis in both lung bases,,,,,, history pna findings exams report header chest x ray v report body the chest study shows a left base infiltrate,,, lungs there is linear opacity in the lingula in the location of previous subtle consolidative opacity,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly is seen, normal heart size and pulmonary vascularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109, findings the cardiomediastinal silhouette is within normal limits,,,, mild atelectasis in the left lung base,,,,,, left base infiltrate,,, interval development of probable consolidative opacity in the right lung base,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly with pulmonary vascular congestion, mild prominence of heart size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110, findings heart size is within normal limits,,,, linear opacity within the right lung base is most consistent with atelectasis,,,,,, there are patchy bilateral infiltrates,,, there is hazy opacity overlying the right lung which may represent a layering effusion,,,,,,,,,,,,,,,,,,,,,,, cardiac mild cardiomegaly persists, history tb findings exams report header chest v report body indication tb screen findings the heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111, pulmonary vessels are is within normal limits,,,, bibasilar atelectasis,,,,,, patchy bilateral infiltrates,,, dense posterior hemithorax opacity seen inferiorly on the lateral view,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly persists without radiographic evidence of congestive failure, heart size is within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112, bone mineralization appears within normal limits,,,, persistent asymmetric elevation left hemidiaphragm and left basilar suspected atelectasis as well as small posterior pleural effusions greater on the left,,,,,, support lines tubes none impression mild left lower lobe infiltrate likely pneumonia,,, comparison date findings right midlung opacity has significantly improved from former examination,,,,,,,,,,,,,,,,,,,,,,, findings cardiomegaly is present, the heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113, findings heart and mediastinum are within normal limits,,,, minor linear atelectasis of the left lower lung,,,,,, findings there is a subtle left retrocardiac infiltrate,,, continued improvement in lung aeration with improved right midlung opacity,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly, the heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114, pulmonary vasculature is within normal limits,,,, impression minor left lower lung linear atelectasis this report was electronically signed by doctor name on date time pm,,,,,, left retrocardiac infiltrate,,, ill defined opacity within the right lower lung zone either a presenting atelectasis versus pneumonia,,,,,,,,,,,,,,,,,,,,,,, findings cardiomegaly is present, findings heart size is mildly prominent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
